STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,24/03/2019,0,88,99,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,25/03/2019,0,87,100,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,26/03/2019,0,83,,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,27/03/2019,0,87,99,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,31/03/2019,0,88,101,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,01/04/2019,0,90,99,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,02/04/2019,0,90,98,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,03/04/2019,0,87,99,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,04/04/2019,0,88,,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,05/04/2019,0,91,98,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,07/04/2019,0,87,98,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,08/04/2019,0.19,86,,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,09/04/2019,0,87,,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,10/04/2019,0.51,89,99,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,11/04/2019,0.06,86,95,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,12/04/2019,0.55,92,99,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,13/04/2019,0.14,90,97,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,14/04/2019,0.01,87,97,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,15/04/2019,0,85,96,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,16/04/2019,0.08,83,96,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,17/04/2019,0.09,82,94,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,18/04/2019,0.11,83,,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,21/04/2019,0.11,87,94,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,22/04/2019,1.51,85,,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,24/04/2019,0,87,95,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,25/04/2019,0,83,,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,28/04/2019,0,87,94,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,29/04/2019,0.12,85,90,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,30/04/2019,0,80,89,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,01/05/2019,0.11,85,,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,02/05/2019,0,84,,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,03/05/2019,0,85,90,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,05/05/2019,0,85,,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,06/05/2019,0,85,94,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,07/05/2019,0,86,92,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,08/05/2019,0,86,93,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,09/05/2019,0,86,92,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,10/05/2019,0,89,94,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,12/05/2019,0,87,95,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,13/05/2019,0,88,,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,15/05/2019,0,87,,79
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,16/05/2019,0,87,,79
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,17/05/2019,0,90,95,78
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,18/05/2019,0,90,95,79
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,19/05/2019,0,88,96,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,20/05/2019,0,87,,77
