HCHO_reading,Location,Current_Date,Next_Date
0.0001425276102801,nuwara eliya proper,2019-04-03,2019-04-04
0.0001196842667319,nuwara eliya proper,2019-04-04,2019-04-05
0.0001196842667319,nuwara eliya proper,2019-04-05,2019-04-06
0.0001029167153844,nuwara eliya proper,2019-04-06,2019-04-07
0.0001029167153844,nuwara eliya proper,2019-04-07,2019-04-08
6.757815417269227e-05,nuwara eliya proper,2019-04-08,2019-04-09
6.757815417269227e-05,nuwara eliya proper,2019-04-09,2019-04-10
6.757815417269227e-05,nuwara eliya proper,2019-04-10,2019-04-11
6.757815417269227e-05,nuwara eliya proper,2019-04-11,2019-04-12
0.0001408357462238,nuwara eliya proper,2019-04-12,2019-04-13
0.0001905907485365,nuwara eliya proper,2019-04-13,2019-04-14
0.0001905907485365,nuwara eliya proper,2019-04-14,2019-04-15
0.0001905907485365,nuwara eliya proper,2019-04-15,2019-04-16
0.0001905907485365,nuwara eliya proper,2019-04-16,2019-04-17
0.0001905907485365,nuwara eliya proper,2019-04-17,2019-04-18
0.0001905907485365,nuwara eliya proper,2019-04-18,2019-04-19
0.0001905907485365,nuwara eliya proper,2019-04-19,2019-04-20
0.0001905907485365,nuwara eliya proper,2019-04-20,2019-04-21
0.0001905907485365,nuwara eliya proper,2019-04-21,2019-04-22
0.0001024999823835,nuwara eliya proper,2019-04-22,2019-04-23
0.0001742585006953,nuwara eliya proper,2019-04-23,2019-04-24
0.0002955116204609,nuwara eliya proper,2019-04-24,2019-04-25
0.0002955116204609,nuwara eliya proper,2019-04-25,2019-04-26
7.111501928962651e-05,nuwara eliya proper,2019-04-26,2019-04-27
7.111501928962651e-05,nuwara eliya proper,2019-04-27,2019-04-28
0.0001093271878134,nuwara eliya proper,2019-04-28,2019-04-29
0.0001093271878134,nuwara eliya proper,2019-04-29,2019-04-30
0.0001093271878134,nuwara eliya proper,2019-04-30,2019-05-01
0.0001203378887073,nuwara eliya proper,2019-05-01,2019-05-02
0.0001336923031109,nuwara eliya proper,2019-05-02,2019-05-03
0.0001336923031109,nuwara eliya proper,2019-05-03,2019-05-04
7.002533500214887e-05,nuwara eliya proper,2019-05-04,2019-05-05
4.388346007494007e-05,nuwara eliya proper,2019-05-05,2019-05-06
0.0001055412390811,nuwara eliya proper,2019-05-06,2019-05-07
0.0001036462577021,nuwara eliya proper,2019-05-07,2019-05-08
5.81859056799875e-05,nuwara eliya proper,2019-05-08,2019-05-09
0.0002151863254373,nuwara eliya proper,2019-05-09,2019-05-10
0.0001520700378357,nuwara eliya proper,2019-05-10,2019-05-11
8.896596670445717e-05,nuwara eliya proper,2019-05-11,2019-05-12
8.896596670445717e-05,nuwara eliya proper,2019-05-12,2019-05-13
8.896596670445717e-05,nuwara eliya proper,2019-05-13,2019-05-14
0.0002790974952239,nuwara eliya proper,2019-05-14,2019-05-15
0.0002221362230624,nuwara eliya proper,2019-05-15,2019-05-16
0.0001343666372122,nuwara eliya proper,2019-05-16,2019-05-17
0.0001343666372122,nuwara eliya proper,2019-05-17,2019-05-18
0.0001343666372122,nuwara eliya proper,2019-05-18,2019-05-19
0.0002702439378481,nuwara eliya proper,2019-05-19,2019-05-20
8.031848961353504e-05,nuwara eliya proper,2019-05-20,2019-05-21
0.0001222873862844,nuwara eliya proper,2019-05-21,2019-05-22
0.0001222873862844,nuwara eliya proper,2019-05-22,2019-05-23
0.0001222873862844,nuwara eliya proper,2019-05-23,2019-05-24
0.0001222873862844,nuwara eliya proper,2019-05-24,2019-05-25
0.0001222873862844,nuwara eliya proper,2019-05-25,2019-05-26
3.6341561558326346e-05,nuwara eliya proper,2019-05-26,2019-05-27
0.0001195644109596,nuwara eliya proper,2019-05-27,2019-05-28
9.84078342114136e-05,nuwara eliya proper,2019-05-28,2019-05-29
0.0001370126083911,nuwara eliya proper,2019-05-29,2019-05-30
5.092769901518664e-05,nuwara eliya proper,2019-05-30,2019-05-31
0.0003009155267739,nuwara eliya proper,2019-05-31,2019-06-01
5.587982157832464e-05,nuwara eliya proper,2019-06-01,2019-06-02
3.772535689224513e-05,nuwara eliya proper,2019-06-02,2019-06-03
3.772535689224513e-05,nuwara eliya proper,2019-06-03,2019-06-04
3.772535689224513e-05,nuwara eliya proper,2019-06-04,2019-06-05
3.772535689224513e-05,nuwara eliya proper,2019-06-05,2019-06-06
3.772535689224513e-05,nuwara eliya proper,2019-06-06,2019-06-07
3.772535689224513e-05,nuwara eliya proper,2019-06-07,2019-06-08
3.772535689224513e-05,nuwara eliya proper,2019-06-08,2019-06-09
0.0001042950827648,nuwara eliya proper,2019-06-09,2019-06-10
0.0001042950827648,nuwara eliya proper,2019-06-10,2019-06-11
8.858704770824554e-05,nuwara eliya proper,2019-06-11,2019-06-12
8.858704770824554e-05,nuwara eliya proper,2019-06-12,2019-06-13
0.0001989688025787,nuwara eliya proper,2019-06-13,2019-06-14
0.0001989688025787,nuwara eliya proper,2019-06-14,2019-06-15
6.074488532642667e-05,nuwara eliya proper,2019-06-15,2019-06-16
0.000101215088715,nuwara eliya proper,2019-06-16,2019-06-17
8.275653874941797e-05,nuwara eliya proper,2019-06-17,2019-06-18
8.291602308825832e-06,nuwara eliya proper,2019-06-18,2019-06-19
